iter	RMSE
0	13462.87536
1	13151.03749
2	12860.17396
3	12604.23538
4	12342.43744
5	12075.99932
6	11777.18815
7	11519.78904
8	11262.09582
9	10984.69042
10	10751.10942
11	10498.8859
12	10274.32001
13	10069.89728
14	9827.577358
15	9605.542321
16	9392.449535
17	9173.975976
18	8969.394739
19	8790.949684
20	8581.426389
21	8395.444991
22	8209.330086
23	8030.470233
24	7858.987073
25	7680.246955
26	7517.260585
27	7359.274411
28	7209.989696
29	7049.734514
30	6908.04106
31	6757.863088
32	6609.405377
33	6458.569676
34	6337.410196
35	6209.611546
36	6091.99987
37	5976.525655
38	5851.597193
39	5740.051774
40	5635.337947
41	5523.984439
42	5421.3161
43	5323.442797
44	5228.791846
45	5130.285366
46	5028.374311
47	4936.169725
48	4848.738513
49	4755.375876
50	4672.050199
51	4598.802549
52	4518.021017
53	4425.422903
54	4361.568039
55	4281.853289
56	4205.6909
57	4130.427013
58	4062.358359
59	3991.281879
60	3929.086436
61	3855.793388
62	3783.43226
63	3727.209884
64	3664.618522
65	3597.267053
66	3539.635158
67	3477.335489
68	3426.563993
69	3371.997297
70	3313.587881
71	3273.561095
72	3224.574188
73	3173.395347
74	3133.35216
75	3078.844861
76	3046.179049
77	3003.065097
78	2964.437559
79	2953.067157
80	2912.424514
81	2867.855666
82	2827.327699
83	2788.079244
84	2751.642369
85	2713.801277
86	2679.674667
87	2642.564879
88	2631.548476
89	2600.97594
90	2570.302049
91	2534.779242
92	2514.049982
93	2502.551161
94	2469.185121
95	2459.375541
96	2449.234552
97	2412.560478
98	2379.722986
99	2358.232524
100	2327.673225
101	2295.753685
102	2269.412403
103	2257.854834
104	2226.035939
105	2217.078857
106	2186.941677
107	2180.387901
108	2170.504953
109	2160.968983
110	2152.042479
111	2125.280435
112	2118.512806
113	2107.174978
114	2094.501456
115	2070.753689
116	2040.723652
117	2033.939896
118	2004.695564
119	1995.441884
120	1986.016284
121	1972.835887
122	1965.485874
123	1956.639107
124	1948.636989
125	1927.602865
126	1905.19465
127	1885.743144
128	1879.809186
129	1861.187589
130	1838.522717
131	1830.074915
132	1811.057642
133	1802.796115
134	1790.118787
135	1781.640548
136	1773.990476
137	1757.514013
138	1749.829709
139	1744.086696
140	1726.086946
141	1717.596046
142	1701.040684
143	1693.866531
144	1677.032001
145	1670.549783
146	1664.829143
147	1658.552352
148	1648.004833
149	1640.755479
150	1635.60202
151	1616.166335
152	1609.985983
153	1591.303918
154	1578.761597
155	1571.901845
156	1564.969189
157	1558.555066
158	1552.995738
