iter	Passed	Remaining
0	3	2682
1	6	2583
2	9	2571
3	12	2577
4	16	2563
5	19	2563
6	22	2551
7	25	2559
8	28	2546
9	32	2538
10	35	2518
11	37	2494
12	40	2461
13	43	2445
14	46	2447
15	50	2459
16	53	2476
17	96	4181
18	100	4121
19	113	4435
20	117	4355
21	120	4269
22	124	4192
23	127	4108
24	130	4037
25	133	3977
26	136	3914
27	140	3861
28	143	3803
29	146	3749
30	149	3704
31	153	3679
32	157	3650
33	160	3612
34	163	3582
35	167	3551
36	170	3515
37	173	3489
38	177	3466
39	181	3450
40	185	3433
41	188	3409
42	192	3391
43	196	3375
44	200	3359
45	203	3343
46	208	3344
47	212	3333
48	217	3333
49	222	3333
50	226	3327
51	231	3324
52	235	3324
53	240	3319
54	244	3310
55	249	3313
56	257	3352
57	265	3401
58	277	3489
59	281	3468
60	284	3445
61	287	3427
62	291	3408
63	294	3391
64	298	3377
65	302	3360
66	305	3347
67	309	3333
68	313	3324
69	317	3313
70	321	3302
71	325	3291
72	329	3282
73	333	3268
74	337	3257
75	340	3246
76	344	3231
77	347	3215
78	350	3201
79	352	3176
80	356	3166
81	360	3158
82	364	3149
83	368	3140
84	372	3132
85	376	3121
86	379	3112
87	383	3102
88	386	3090
89	388	3067
90	392	3057
91	395	3045
92	399	3037
93	401	3017
94	405	3006
95	408	2994
96	411	2984
97	415	2979
98	419	2970
99	421	2952
100	425	2944
101	428	2935
102	432	2926
103	434	2907
104	437	2895
105	438	2869
106	441	2860
107	442	2832
108	445	2822
109	448	2813
110	451	2805
111	455	2797
112	459	2790
113	460	2772
114	463	2763
115	467	2753
116	470	2746
117	474	2742
118	477	2734
119	478	2713
120	482	2707
121	485	2698
122	488	2690
123	492	2683
124	495	2673
125	498	2665
126	501	2657
127	504	2649
128	507	2641
129	511	2637
130	515	2631
131	518	2624
132	521	2616
133	524	2608
134	527	2599
135	530	2591
136	533	2583
137	535	2570
138	539	2563
139	542	2556
140	545	2551
141	549	2544
142	552	2537
143	556	2533
144	559	2528
145	563	2522
146	566	2515
147	567	2498
148	570	2491
149	573	2484
150	576	2477
151	579	2472
152	583	2465
153	586	2459
154	589	2452
155	592	2447
156	596	2443
157	600	2438
158	600	2422
159	603	2415
160	606	2409
161	610	2403
162	613	2397
163	616	2391
164	619	2385
165	620	2370
166	623	2364
167	627	2359
168	629	2349
169	632	2343
170	635	2338
171	636	2324
172	639	2318
173	642	2312
174	645	2306
175	647	2297
176	651	2291
177	654	2285
178	657	2280
179	660	2276
180	664	2271
181	668	2269
182	671	2264
183	674	2259
184	677	2253
185	681	2248
186	684	2243
187	687	2238
188	690	2233
189	692	2223
190	695	2218
191	696	2205
192	699	2201
193	703	2196
194	706	2191
195	710	2188
196	710	2176
197	714	2172
198	717	2168
199	720	2162
200	724	2158
201	727	2153
202	730	2148
203	732	2139
204	735	2134
205	738	2130
206	742	2125
207	742	2114
208	745	2109
209	749	2105
210	749	2092
211	752	2088
212	753	2077
213	757	2073
214	757	2061
215	761	2058
216	764	2054
217	768	2050
218	771	2045
219	774	2041
220	777	2036
221	780	2033
222	783	2028
223	786	2023
224	790	2020
225	794	2017
226	797	2014
227	800	2007
228	803	2002
229	804	1993
230	807	1989
231	810	1984
232	811	1974
233	814	1970
234	817	1966
235	821	1962
236	824	1957
237	827	1953
238	828	1943
239	831	1939
240	834	1935
241	835	1927
242	839	1923
243	842	1918
244	845	1915
245	848	1911
246	852	1908
247	856	1905
248	859	1901
249	862	1897
250	864	1890
251	867	1887
252	868	1877
253	871	1873
254	872	1864
255	875	1859
256	878	1856
257	881	1852
258	885	1848
259	888	1844
260	891	1840
261	894	1836
262	897	1833
263	900	1827
264	903	1824
265	907	1821
266	910	1817
267	913	1813
268	916	1808
269	918	1802
270	921	1798
271	924	1795
272	928	1791
273	931	1788
274	935	1785
275	936	1778
276	939	1774
277	943	1771
278	944	1763
279	947	1758
280	950	1755
281	953	1751
282	956	1747
283	959	1743
284	962	1739
285	966	1736
286	969	1732
287	972	1728
288	975	1724
289	979	1721
290	982	1718
291	986	1715
292	989	1712
293	992	1708
294	995	1704
295	999	1701
296	1002	1697
297	1006	1695
298	1008	1689
299	1011	1686
300	1015	1682
301	1018	1679
302	1021	1675
303	1024	1671
304	1027	1667
305	1030	1664
306	1034	1660
307	1037	1656
308	1040	1653
309	1043	1649
310	1046	1646
311	1050	1642
312	1053	1639
313	1057	1637
314	1061	1634
315	1064	1630
316	1068	1627
317	1071	1623
318	1074	1620
319	1077	1616
320	1080	1613
321	1084	1609
322	1087	1605
323	1090	1601
324	1093	1597
325	1096	1594
326	1099	1590
327	1103	1587
328	1106	1584
329	1109	1580
330	1113	1577
331	1116	1573
332	1119	1570
333	1122	1566
334	1126	1563
335	1129	1559
336	1132	1555
337	1135	1552
338	1138	1548
339	1142	1545
340	1145	1542
341	1149	1539
342	1153	1536
343	1156	1532
344	1159	1529
345	1163	1526
346	1166	1522
347	1169	1518
348	1172	1515
349	1175	1511
350	1179	1508
351	1182	1505
352	1186	1502
353	1189	1499
354	1193	1495
355	1196	1492
356	1197	1486
357	1200	1482
358	1202	1477
359	1206	1474
360	1209	1470
361	1212	1467
362	1215	1463
363	1218	1459
364	1222	1456
365	1225	1453
366	1229	1450
367	1232	1446
368	1236	1444
369	1239	1440
370	1242	1437
371	1246	1433
372	1249	1430
373	1252	1426
374	1255	1423
375	1259	1419
376	1262	1416
377	1265	1412
378	1267	1407
379	1270	1404
380	1274	1401
381	1277	1397
382	1280	1394
383	1283	1390
384	1286	1387
385	1290	1383
386	1293	1379
387	1296	1376
388	1299	1373
389	1301	1368
390	1304	1364
391	1308	1361
392	1311	1358
393	1315	1355
394	1318	1352
395	1321	1348
396	1324	1344
397	1327	1341
398	1330	1337
399	1334	1334
400	1337	1330
401	1340	1327
402	1342	1322
403	1346	1319
404	1349	1316
405	1352	1312
406	1355	1308
407	1358	1305
408	1361	1301
409	1364	1298
410	1367	1294
411	1370	1291
