Density in g * cm-3

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgBr,100,P1,720,940,1%,6.307,-0.001035,,,,,
AgBr-AgCl,0-100,P1,760,900,,5.519,-9.4E-4,,,,"For 100% AgCl, the departures from the recommended data set are: 770 K, -0.8%,900 K, -1%",
AgBr-AgCl,22.7-77.3,P1,720,850,,5.818,-0.00108,,,,,
AgBr-AgCl,40.3-59.7,P1,700,860,,5.984,-0.00112,,,,,
AgBr-AgCl,65.8-34.2,P1,700,850,,6.124,-0.00107,,,,,
AgBr-AgCl,100-0,P1,720,870,,6.31,-0.00104,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-Ag2Te,0-100,P1,1230,1250,,8.4178,-8.125E-4,,,,"For 100% Ag2Te, the results have been advanced as the recommended data set",
AgBr-Ag2Te,20-80,P1,1140,1260,,7.9529,-7.757E-4,,,,,
AgBr-Ag2Te,32-68,P1,1020,1260,,7.7926,-8.84E-4,,,,,
AgBr-Ag2Te,50-50,P1,940,1260,,7.3999,-8.582E-4,,,,,
AgBr-Ag2Te,70-30,P1,780,1260,,6.9582,-9.374E-4,,,,,
AgBr-Ag2Te,90-10,P1,780,1260,,6.2609,-8.119E-4,,,,,
AgBr-Ag2Te,100-0,P1,740,1180,,6.3212,-0.0010875,,,,"For 100% AgBr, the departures from the recommended data set are: 740 K, -0.4%,1180 K, -0.6%.",
AgBr-CsBr,50-50,P1,760,1060,,4.993,-0.001272,,,,,
AgBr-CsCl,50-50,P1,840,1080,,4.7056,-0.0011809,,,,,
AgBr-CsCl,100-0,P1,720,960,,6.321,-0.00105,,,,"For 100% AgBr, the departures from the recommended data set are: 720 K, +0.05%, 960 K, 0.0%.",
AgBr-KBr,39.5-60.5,P1,870,970,,3.954,-9.8E-4,,,,,
AgBr-KBr,60.1-39.9,P1,660,870,,4.657,-0.00103,,,,,
AgBr-KBr,79.2-20.8,P1,660,870,,5.462,-0.00112,,,,,
AgBr-KBr,100-0,P1,720,870,,6.316,-0.00105,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-KCl,50-50,P1,700,1073,,3.9663,-9.317E-4,,,,,
AgBr-KCl,0-100 AgBr,I3,1073,,,1.487,0.02796,-3.279E-5,1.226E-6,,"For both 100% KCl and 100% AgBr at 1073 K, the departure from the recommended data set is, respectively, -1.2% and -0.1%.",
AgBr-LiBr,50-50,P1,810,960,,4.743,-8.92E-4,,,,,
AgBr-LiCl,50-50,P1,880,980,,4.3431,-8.592E-4,,,,,
AgBr-LiCl,100-0,P1,720,960,,6.321,-0.00105,,,,"For 100% AgBr, the departures from the recommended data set are: 720 K, -0.4%,960 K, -0.6%.",
