System,Mol Mass,Mol Frac,Melt(K),Boil(K),rho_a,rho_b,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,k_a,k_b,cp_a,cp_b,Composition,polarizability_element[10-24Cm3],atomic_mass_element,electronegativity_element,ionic_charge_element,atomic_radius_element[Angstrom],ionic_radius_element[Angstrom],covalent_radius_element[Angstrom],first_ionization_energy[kJ_per_mol],symbol,atomic_radius_components[Angstrom],ionic_polarizability_sum_components,ionic_polarizability_mean_components
AlCl3,133.3405,Pure Salt,465.0,453.0,2.56,0.00271,0.00228,19400.0,,,,,,125.52,,"{'Al': 0.25, 'Cl': 0.75}","{'Al': 8.34, 'Cl': 2.18}","{'Al': 26.982, 'Cl': 35.453}","{'Al': 1.61, 'Cl': 3.16}","{'Al': '3+', 'Cl': '1-'}","{'Al': 1.18, 'Cl': 0.79}","{'Al': 1.25, 'Cl': 1.0}","{'Al': 1.18, 'Cl': 0.99}","{'Al': 577.5, 'Cl': 1251.2}","{'Al': 'Al', 'Cl': 'Cl'}",3.55,12.888750000000002,3.2221875000000004
BeCl2,79.9182,Pure Salt,688.0,760.0,2.28,0.0011,,,,,,,,,,"{'Be': 0.3333333333333333, 'Cl': 0.6666666666666666}","{'Be': 5.6, 'Cl': 2.18}","{'Be': 9.012, 'Cl': 35.453}","{'Be': 1.57, 'Cl': 3.16}","{'Be': '2+', 'Cl': '1-'}","{'Be': 1.12, 'Cl': 0.79}","{'Be': 1.05, 'Cl': 1.0}","{'Be': 0.9, 'Cl': 0.99}","{'Be': 899.5, 'Cl': 1251.2}","{'Be': 'Be', 'Cl': 'Cl'}",2.7,7.410920138888889,2.470306712962963
BeF2,47.009,Pure Salt,821.2,1442.0,1.97,1.45e-05,,,-8.12,11500.0,639000.0,0.801,-2.12e-06,51.1,0.0346,"{'Be': 0.3333333333333333, 'F': 0.6666666666666666}","{'Be': 5.6, 'F': 0.557}","{'Be': 9.012, 'F': 18.998}","{'Be': 1.57, 'F': 3.98}","{'Be': '2+', 'F': '1-'}","{'Be': 1.12, 'F': 0.42}","{'Be': 1.05, 'F': 0.5}","{'Be': 0.9, 'F': 0.71}","{'Be': 899.5, 'F': 1681.0}","{'Be': 'Be', 'F': 'F'}",1.96,3.8987951388888886,1.2995983796296295
CaCl2,110.984,Pure Salt,1045.0,2230.0,2.53,0.000423,,,-0.545,597.0,546000.0,0.568,-0.000115,102.533,,"{'Ca': 0.3333333333333333, 'Cl': 0.6666666666666666}","{'Ca': 25.0, 'Cl': 2.18}","{'Ca': 40.078, 'Cl': 35.453}","{'Ca': 1.0, 'Cl': 3.16}","{'Ca': '2+', 'Cl': '1-'}","{'Ca': 1.94, 'Cl': 0.79}","{'Ca': 1.8, 'Cl': 1.0}","{'Ca': 1.74, 'Cl': 0.99}","{'Ca': 589.8, 'Cl': 1251.2}","{'Ca': 'Ca', 'Cl': 'Cl'}",3.52,25.583188274793386,8.52772942493113
CaF2,78.0748,Pure Salt,1692.0,2724.0,3.18,0.000391,0.1,47600.0,,,,0.667,-6.04e-05,99.914,,"{'Ca': 0.3333333333333333, 'F': 0.6666666666666666}","{'Ca': 25.0, 'F': 0.557}","{'Ca': 40.078, 'F': 18.998}","{'Ca': 1.0, 'F': 3.98}","{'Ca': '2+', 'F': '1-'}","{'Ca': 1.94, 'F': 0.42}","{'Ca': 1.8, 'F': 0.5}","{'Ca': 1.74, 'F': 0.71}","{'Ca': 589.8, 'F': 1681.0}","{'Ca': 'Ca', 'F': 'F'}",2.78,22.071063274793385,7.357021091597795
GdCl3,263.609,Pure Salt,875.0,1868.0,4.15,0.000673,,,6.38,-15500.0,9800000.0,,,,,"{'Gd': 0.25, 'Cl': 0.75}","{'Gd': 26.0, 'Cl': 2.18}","{'Gd': 157.25, 'Cl': 35.453}","{'Gd': 1.2, 'Cl': 3.16}","{'Gd': '3+', 'Cl': '1-'}","{'Gd': 2.33, 'Cl': 0.79}","{'Gd': 1.8, 'Cl': 1.0}","{'Gd': 1.91, 'Cl': 0.99}","{'Gd': 593.4, 'Cl': 1251.2}","{'Gd': 'Gd', 'Cl': 'Cl'}",4.7,31.106816088633327,7.776704022158332
GdF3,214.2452,Pure Salt,1505.0,2550.0,,,,,,,,,,,,"{'Gd': 0.25, 'F': 0.75}","{'Gd': 26.0, 'F': 0.557}","{'Gd': 157.25, 'F': 18.998}","{'Gd': 1.2, 'F': 3.98}","{'Gd': '3+', 'F': '1-'}","{'Gd': 2.33, 'F': 0.42}","{'Gd': 1.8, 'F': 0.5}","{'Gd': 1.91, 'F': 0.71}","{'Gd': 593.4, 'F': 1681.0}","{'Gd': 'Gd', 'F': 'F'}",3.59,25.838628588633327,6.459657147158332
KCl,74.5513,Pure Salt,1042.7,1688.0,2.14,0.000583,0.0708,23900.0,,,,0.566,-0.00017,73.59656,,"{'K': 0.5, 'Cl': 0.5}","{'K': 43.4, 'Cl': 2.18}","{'K': 39.098, 'Cl': 35.453}","{'K': 0.82, 'Cl': 3.16}","{'K': '1+', 'Cl': '1-'}","{'K': 2.43, 'Cl': 0.79}","{'K': 2.2, 'Cl': 1.0}","{'K': 1.96, 'Cl': 0.99}","{'K': 418.8, 'Cl': 1251.2}","{'K': 'K', 'Cl': 'Cl'}",3.22,41.629515624999996,20.814757812499998
KF,58.0967,Pure Salt,1131.2,1771.0,2.65,0.000652,0.107,23800.0,,,,0.855,-0.000254,71.965,,"{'K': 0.5, 'F': 0.5}","{'K': 43.4, 'F': 0.557}","{'K': 39.098, 'F': 18.998}","{'K': 0.82, 'F': 3.98}","{'K': '1+', 'F': '1-'}","{'K': 2.43, 'F': 0.42}","{'K': 2.2, 'F': 0.5}","{'K': 1.96, 'F': 0.71}","{'K': 418.8, 'F': 1681.0}","{'K': 'K', 'F': 'F'}",2.85,39.873453125,19.9367265625
LaCl3,245.2645,Pure Salt,1132.0,1983.0,4.09,0.000777,0.0206,54600.0,,,,,,,,"{'La': 0.25, 'Cl': 0.75}","{'La': 37.0, 'Cl': 2.18}","{'La': 138.905, 'Cl': 35.453}","{'La': 1.1, 'Cl': 3.16}","{'La': '3+', 'Cl': '1-'}","{'La': 1.95, 'Cl': 0.79}","{'La': 1.95, 'Cl': 1.0}","{'La': 1.69, 'Cl': 0.99}","{'La': 538.1, 'Cl': 1251.2}","{'La': 'La', 'Cl': 'Cl'}",4.32,40.775546875,10.19388671875
LaF3,195.9007,Pure Salt,1766.0,2600.0,5.79,0.000682,,,,,,,,135.0,,"{'La': 0.25, 'F': 0.75}","{'La': 37.0, 'F': 0.557}","{'La': 138.905, 'F': 18.998}","{'La': 1.1, 'F': 3.98}","{'La': '3+', 'F': '1-'}","{'La': 1.95, 'F': 0.42}","{'La': 1.95, 'F': 0.5}","{'La': 1.69, 'F': 0.71}","{'La': 538.1, 'F': 1681.0}","{'La': 'La', 'F': 'F'}",3.21,35.507359375,8.87683984375
LiCl,42.394,Pure Salt,883.0,1655.0,1.88,0.000433,0.0726,22400.0,,,,0.882,-0.00029,73.3832,-0.0094726,"{'Li': 0.5, 'Cl': 0.5}","{'Li': 24.3, 'Cl': 2.18}","{'Li': 6.941, 'Cl': 35.453}","{'Li': 0.98, 'Cl': 3.16}","{'Li': '1+', 'Cl': '1-'}","{'Li': 1.67, 'Cl': 0.79}","{'Li': 1.45, 'Cl': 1.0}","{'Li': 1.34, 'Cl': 0.99}","{'Li': 520.2, 'Cl': 1251.2}","{'Li': 'Li', 'Cl': 'Cl'}",2.46,16.129765625,8.0648828125
LiF,25.9394,Pure Salt,1121.2,1943.0,2.37,0.0005,0.115,27000.0,,,,1.88,-0.000399,64.183,,"{'Li': 0.5, 'F': 0.5}","{'Li': 24.3, 'F': 0.557}","{'Li': 6.941, 'F': 18.998}","{'Li': 0.98, 'F': 3.98}","{'Li': '1+', 'F': '1-'}","{'Li': 1.67, 'F': 0.42}","{'Li': 1.45, 'F': 0.5}","{'Li': 1.34, 'F': 0.71}","{'Li': 520.2, 'F': 1681.0}","{'Li': 'Li', 'F': 'F'}",2.09,14.373703125,7.1868515625
