System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
AlCl3,1,133.3405,Pure Salt,465,----,Kelley 1935 [74],453,----,Janz 1967 [66],2.56,0.00271,462-569,1,King 1971 [78],0.00228,19400.0,,,,469-559,1,Brockner 1979 [28],,,----,----,----,125.52,,,,----,Robelin 2004 [119],"{'Al': 0.25, 'Cl': 0.75}"
BeCl2,2,79.9182,Pure Salt,688,2,McDonald 1965 [92],760,----,Brewer 1963 [26],2.28,0.0011,706-746,5,Klemm 1926 [81],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Be': 0.3333333333333333, 'Cl': 0.6666666666666666}"
BeF2,3,47.009,Pure Salt,821.2,3,Thoma 1960 [139],1442,----,Cantor 1965 [31],1.97,1.45e-05,1073-1123,1,Cantor 1969 [33],,,-8.12,11500.0,639000.0,846.9-1252.2,3,Moynihan 1968 [98],0.801,-2.12e-06,1070.15-1500,20,Gheribi 2014 [58],51.1,0.0346,,,----,Chase 1998 [36],"{'Be': 0.3333333333333333, 'F': 0.6666666666666666}"
CaCl2,4,110.984,Pure Salt,1045,10,Moore 1943 [96],2230,30,Glushko 1972 [61],2.53,0.000423,1060-1223,1,Yaffe 1956 [152],,,-0.545,597.0,546000.0,987-1239,1,Toerklep 1982 [140],0.568,-0.000115,1055.15-1700,20,Gheribi 2014 [58],102.533,,,,10,Moore 1943 [96],"{'Ca': 0.3333333333333333, 'Cl': 0.6666666666666666}"
CaF2,5,78.0748,Pure Salt,1692,1,Mukerji 1965 [99],2724,----,Ruff 1928 [123],3.18,0.000391,1640-2300,3,Kirshenbaum 1960 [80],0.1,47600.0,,,,1703.3-1868.1,3,Takeda 2015 [135],0.667,-6.04e-05,1691.15-2500,20,Gheribi 2014 [58],99.914,,,,10,Naylor 1945 [103],"{'Ca': 0.3333333333333333, 'F': 0.6666666666666666}"
GdCl3,6,263.609,Pure Salt,875,10,Dworkin 1971 [50],1868,10,Glushko 1972 [61],4.15,0.000673,932-1280,3,Cho 1972 [38],,,6.38,-15500.0,9800000.0,1060-1233,2,Cho 1972 [39],,,----,----,----,,,,,----,----,"{'Gd': 0.25, 'Cl': 0.75}"
GdF3,7,214.2452,Pure Salt,1505,3,Spedding 1974 [131],2550,----,Landolt 2000 [87],,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Gd': 0.25, 'F': 0.75}"
KCl,8,74.5513,Pure Salt,1042.7,0.5,Johnson 1958 [72],1688,----,Ruff 1921 [124],2.14,0.000583,1053.2-1213.2,1,Van Artsdalen 1955 [144],0.0708,23900.0,,,,1050.7-1190.9,1,Ejima 1982 [54],0.566,-0.00017,1056-1335,8,Nagasaka 1992 [102],73.59656,,,,10,Barin 1977 [8],"{'K': 0.5, 'Cl': 0.5}"
KF,9,58.0967,Pure Salt,1131.2,0.5,Johnson 1958 [72],1771,----,Ruff 1922 [125],2.65,0.000652,1154.2-1310.2,1,Yaffe 1956 [152],0.107,23800.0,,,,1141.2-1327.6,1.5,Janz 1988 [67],0.855,-0.000254,1129.15-1800,20,Gheribi 2014 [58],71.965,,,,8,Chase 1998 [36],"{'K': 0.5, 'F': 0.5}"
LaCl3,10,245.2645,Pure Salt,1132,2,Keneshea 1961 [77],1983,20,Glushko 1972 [61],4.09,0.000777,1146.2-1246.2,1,Yaffe 1956 [152],0.0206,54600.0,,,,1183-1276,1,Smirnov 1966 [129],,,----,----,----,,,,,----,----,"{'La': 0.25, 'Cl': 0.75}"
LaF3,11,195.9007,Pure Salt,1766,3,Spedding 1971 [132],2600,----,Janz 1967 [66],5.79,0.000682,1750-2450,5,Kirshenbaum 1960 [80],,,,,,----,----,----,,,----,----,----,135.0,,,,----,Spedding 1971 [131],"{'La': 0.25, 'F': 0.75}"
LiCl,12,42.394,Pure Salt,883,5,Haendler 1959 [62],1655,----,Wartenberg 1921 [145],1.88,0.000433,893.2-1053.2,1,Van Artsdalen 1955 [144],0.0726,22400.0,,,,886-1275,2,Wakao 1991 [146],0.882,-0.00029,967-1321,20,Nagasaka 1992 [102],73.3832,-0.0094726,,,5,Barin 1977 [8],"{'Li': 0.5, 'Cl': 0.5}"
LiF,13,25.9394,Pure Salt,1121.2,1,Douglas 1954 [47],1943,----,Ruff 1922 [125],2.37,0.0005,1123.6-1367.5,1,Hill 1967 [64],0.115,27000.0,,,,1133-1772,1,Abe 1981 [2],1.88,-0.000399,1118.5-1900,20,Gheribi 2014 [58],64.183,,,,3,Chase 1998 [36],"{'Li': 0.5, 'F': 0.5}"
MgCl2,14,95.211,Pure Salt,987,1,Moore 1943 [96],1640,20,Glushko 1972 [61],1.97,0.000288,987-1300,1,Parker 2022 [110],0.18,20500.0,,,,993-1173,1,Toerklep 1982 [140],0.224,-2e-05,987.15-1700,20,Gheribi 2014 [58],92.048,,,,10,Moore 1943 [96],"{'Mg': 0.3333333333333333, 'Cl': 0.6666666666666666}"
MgF2,15,62.3018,Pure Salt,1534.2,2,Kojima 1968 [83],2512,----,Ruff 1928 [123],3.24,0.000524,1650-2100,3,Kirshenbaum 1960 [80],0.187,32100.0,,,,1514.7-1853.2,3,Takeda 2015 [135],0.867,-0.000141,1536-2400,20,Gheribi 2014 [58],,,,,----,----,"{'Mg': 0.3333333333333333, 'F': 0.6666666666666666}"
