System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
AlCl3,1,133.3405,Pure Salt,465,----,Kelley 1935 [74],453,----,Janz 1967 [66],2.56E+00,2.71E-03,462-569,1,King 1971 [78],2.28E-03,1.94E+04,----,----,----,469-559,1,Brockner 1979 [28],----,----,----,----,----,125.52,----,----,----,----,Robelin 2004 [119]
BeCl2,2,79.9182,Pure Salt,688,2,McDonald 1965 [92],760,----,Brewer 1963 [26],2.28E+00,1.10E-03,706-746,5,Klemm 1926 [81],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
BeF2,3,47.009,Pure Salt,821.2,3,Thoma 1960 [139],1442,----,Cantor 1965 [31],1.97E+00,1.45E-05,1073-1123,1,Cantor 1969 [33],----,----,-8.12E+00,1.15E+04,6.39E+05,846.9-1252.2,3,Moynihan 1968 [98],8.01E-01,-2.12E-06,1070.15-1500,20,Gheribi 2014 [58],5.11E+01,3.46E-02,----,----,----,Chase 1998 [36]
CaCl2,4,110.984,Pure Salt,1045,10,Moore 1943 [96],2230,30,Glushko 1972 [61],2.53E+00,4.23E-04,1060-1223,1,Yaffe 1956 [152],----,----,-5.45E-01,5.97E+02,5.46E+05,987-1239,1,Toerklep 1982 [140],5.68E-01,-1.15E-04,1055.15-1700,20,Gheribi 2014 [58],102.533,----,----,----,10,Moore 1943 [96]
CaF2,5,78.0748,Pure Salt,1692,1,Mukerji 1965 [99],2724,----,Ruff 1928 [123],3.18E+00,3.91E-04,1640-2300,3,Kirshenbaum 1960 [80],1.00E-01,4.76E+04,----,----,----,1703.3-1868.1,3,Takeda 2015 [135],6.67E-01,-6.04E-05,1691.15-2500,20,Gheribi 2014 [58],99.914,----,----,----,10,Naylor 1945 [103]
GdCl3,6,263.609,Pure Salt,875,10,Dworkin 1971 [50],1868,10,Glushko 1972 [61],4.15E+00,6.73E-04,932-1280,3,Cho 1972 [38],----,----,6.38E+00,-1.55E+04,9.80E+06,1060-1233,2,Cho 1972 [39],----,----,----,----,----,----,----,----,----,----,----
GdF3,7,214.2452,Pure Salt,1505,3,Spedding 1974 [131],2550,----,Landolt 2000 [87],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl,8,74.5513,Pure Salt,1042.7,0.5,Johnson 1958 [72],1688,----,Ruff 1921 [124],2.14E+00,5.83E-04,1053.2-1213.2,1,Van Artsdalen 1955 [144],7.08E-02,2.39E+04,----,----,----,1050.7-1190.9,1,Ejima 1982 [54],5.66E-01,-1.70E-04,1056-1335,8,Nagasaka 1992 [102],73.59656,----,----,----,10,Barin 1977 [8]
KF,9,58.0967,Pure Salt,1131.2,0.5,Johnson 1958 [72],1771,----,Ruff 1922 [125],2.65E+00,6.52E-04,1154.2-1310.2,1,Yaffe 1956 [152],1.07E-01,2.38E+04,----,----,----,1141.2-1327.6,1.5,Janz 1988 [67],8.55E-01,-2.54E-04,1129.15-1800,20,Gheribi 2014 [58],71.965,----,----,----,8,Chase 1998 [36]
LaCl3,10,245.2645,Pure Salt,1132,2,Keneshea 1961 [77],1983,20,Glushko 1972 [61],4.09E+00,7.77E-04,1146.2-1246.2,1,Yaffe 1956 [152],2.06E-02,5.46E+04,----,----,----,1183-1276,1,Smirnov 1966 [129],----,----,----,----,----,----,----,----,----,----,----
