Viscosity in mN * s * m-2

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgBr,100,+E,713,873,1.5%,0.3806,12920.41,,,,,
AgBr-AgCl,0.0-100.0,+E,730,970,,0.31776,12027.11,,,,"For 100% AgCl, the departures from the recommended data set are: 730 K, -0.25%, 970 K, +0.41%.",
AgBr-AgCl,26.8-73.2,+E,720,870,,0.30267,12742.17,,,,,
AgBr-AgCl,40-60,+E,720,870,,0.22062,15031.69,,,,,
AgBr-AgCl,60-40,+E,720,870,,0.31178,13358.06,,,,,
AgBr-AgCl,80-20,+E,720,870,,0.34041,13109.53,,,,,
AgBr-AgCl,100-0,+E,720,870,,0.39199,12737.15,,,,"For 100% AgBr, the departures from the recommended data set are: 720 K, -0.1%,870 K, +0.4%.",
AgBr-HgBr2,0-100,+E,528,548,,0.01801,21087.71,,,,"For 100% HgBr2, the results have been advanced as the recommended data set.",
AgBr-HgBr2,0.14-99.86,+E,528,548,,0.1264,12409.11,,,,,
AgBr-HgBr2,1.03-98.97,+E,528,548,,0.1421,11354.31,,,,,
AgBr-HgBr2,2.32-97.68,+E,528,548,,0.01167,23057.15,,,,,
AgBr-HgBr2,7.04-92.96,+E,528,548,,0.02728,19561.36,,,,,
AgBr-KBr,45.7-54.3,+E,830,870,,0.1208,19324.55,,,,,
AgBr-KBr,55.2-44.8,+E,730,870,,0.1498,17719.12,,,,,
AgBr-KBr,69.2-30.8,+E,630,870,,0.1681,17098.2,,,,,
AgBr-KBr,79.7-20.3,+E,630,870,,0.2102,15811.6,,,,,
AgBr-KBr,100.0-0.0,+E,713,873,,0.3806,12920.41,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgCl,100,+E,723,973,1.5%,0.3098,12196.56,,,,,
AgCl-KCl,38.1-61.9,+E,880,970,,0.1377,18002.8,,,,,
AgCl-KCl,44.9-55.1,+E,830,970,,0.1327,18111.58,,,,,
AgCl-KCl,67.9-32.1,+E,680,970,,0.1556,16748.83,,,,,
AgCl-KCl,80.6-19.4,+E,730,970,,0.1907,15490.26,,,,,
AgCl-KCl,100-0,+E,723,973,,0.3098,12196.56,,,,"For 100% AgCl, the results have been advanced as the recommended data set.",
AgCl-PbCl2,0-100,+E,773,973,,0.05619,28292.68,,,,"For 100% PbCl2, the results have been advanced as the recommended data set.",
AgCl-PbCl2,17.4-82.6,+E,780,960,,0.09628,24015.31,,,,,
AgCl-PbCl2,38.0-62.0,+E,740,960,,0.1271,21228.72,,,,,
AgCl-PbCl2,60.8-39.2,+E,640,960,,0.1625,18775.6,,,,,
AgCl-PbCl2,80.2-19.8,+E,680,960,,0.2411,14976.46,,,,,
AgCl-PbCl2,100-0,+E,723,973,,0.3098,12196.56,,,,"For 100% AgCl, the results have been advanced as the recommended data set.",
AgI,100,+E,878,1100,3%,0.1481,22004.02,,,,,
AgI-AgNO3,0-100,DP,,,,4.56,498K,,,,This is approx. 2% lower than the recommended data base for pure AgNO3.,
AgI-AgNO3,7.4-92.6,+E,470,550,,0.600033,8848.05,,,,,
AgI-AgNO3,15.3-84.7,+E,420,500,,0.295083,12130.04,,,,,
AgI-AgNO3,19.4-80.6,+E,420,500,,0.172414,14626.25,,,,,
AgI-AgNO3,20.7-79.3,+E,410,500,,0.139233,15530.85,,,,,
AgI-AgNO3,23.7-76.3,+E,400,500,,0.080893,17558.87,,,,,
AgI-AgNO3,25.8-74.2,+E,400,500,,0.105335,16709.08,,,,,
AgI-AgNO3,28.0-72.0,+E,400,500,,0.167855,15068.09,,,,,
AgI-AgNO3,32.5-67.5,+E,400,500,,0.126516,16590.26,,,,,
AgI-AgNO3,37.2-62.8,+E,400,500,,0.157457,16184.4,,,,,
AgI-AgNO3,40.0-60.0,+E,400,500,,0.115231,17386.07,,,,,
AgI-AgNO3,42.0-58.0,+E,400,500,,0.100842,17895.27,,,,,
AgI-AgNO3,43.9-56.1,P2,400,500,,689.65,-2.84283,0.00296673,,,,
AgI-AgNO3,46.9-53.1,+E,400,500,,0.254856,14712.86,,,,,
AgI-AgNO3,52.0-48.0,+E,400,500,,0.0862559,19223.71,,,,,
AgI-HgI2,0-100,+E,540,750,,0.311216,9393.24,,,,"For 100% HgI2, the departures from the recommended data set are: 556 K, 3.3%, 629 K, 19.3%.",
AgI-HgI2,0.5-99.5,+E,560,680,,0.168166,12409.11,,,,,
AgI-HgI2,1.8-98.2,+E,540,700,,0.166318,13001.58,,,,,
AgI-HgI2,3.5-96.5,+E,550,730,,0.173107,13234.63,,,,,
AgI-HgI2,5.9-94.1,+E,540,730,,0.117241,16004.49,,,,,
AgNO3,100,+E,530,593.4,1%,0.1159,15146.33,,,,,
AgNO3-CsNO3,0-100,+E,550,670,,0.05236,22020.76,,,,"For 100% CsNO3, the departures from the recommended data set are: 550 K, +2.9%, 670 K, -5.0%.",
AgNO3-CsNO3,25-75,+E,550,670,,0.08238,18351.33,,,,,
AgNO3-CsNO3,50-50,+E,550,670,,0.09479,16744.65,,,,,
AgNO3-CsNO3,75-25,+E,550,670,,0.11851,15263.49,,,,,
AgNO3-CsNO3,100-0,+E,550,670,,0.14124,14301.15,,,,"For 100% AgNO3, the departures from the recommended data set are: 550 K, +1.3%, 670 K, +4.6%.",
AgNO3-HgBr2,.19-99.81,+E,530,550,,0.133357,12380.66,,,,,
AgNO3-HgBr2,1.01-98.99,+E,530,550,,0.3663,7850.15,,,,,
AgNO3-HgBr2,4.38-95.62,+E,530,550,,0.120107,13311.62,,,,,
AgNO3-HgBr2,6.75-93.25,+E,530,550,,0.0119272,23995.22,,,,,
AgNO3-HgI2,30-70,+E,430,470,,6.094E-5,41252.84,,,,,
AgNO3-HgI2,32.5-67.5,+E,380,470,,7.362E-5,40552.84,,,,,
AgNO3-HgI2,55-45,+E,400,470,,6.06E-5,41056.19,,,,,
AgNO3-HgI2,60-40,+E,380,470,,7.443E-5,39634.86,,,,,
AgNO3-HgI2,65-35,+E,390,470,,1.6009E-4,37654.96,,,,,
AgNO3-KNO3,0-100,+E,610,670,,0.07531,18527.06,,,,"For 100% KNO3, the departures from the recommended data set are: 620 K, -1.7%,670 K, -1.1%.",
AgNO3-KNO3,25-75,+E,550,670,,0.10056,16430.84,,,,,
AgNO3-KNO3,50-50,+E,550,670,,0.11504,15372.27,,,,,
AgNO3-KNO3,75-25,+E,550,670,,0.11192,15426.67,,,,,
AgNO3-KNO3,100-0,+E,550,670,,0.14124,14301.15,,,,"For 100% AgNO3, the departures from the recommended data set are: 550 K, +1.3%, 670 K, +4.6%.",
AgNO3-LiNO3,0-100,+E,550,670,,0.08363,18690.24,,,,"For 100% LiNO3, the departures from the recommended data set are: 550 K, +4.7%, 670 K, +3.7%.",
AgNO3-LiNO3,25-75,+E,550,670,,0.11289,16481.05,,,,,
AgNO3-LiNO3,50-50,+E,550,670,,0.10481,16012.44,,,,,
AgNO3-LiNO3,75-25,+E,550,670,,0.13815,14660.98,,,,,
AgNO3-LiNO3,100-0,+E,550,670,,0.14124,14301.15,,,,"For 100% AgNO3, the departures from the recommended data set are: 550 K, +1.3%, 670 K, +4.6%.",
AgNO3-NaNO3,0-100,+E,550,670,,0.10392,16234.19,,,,"For 100% NaNO3, the departures from the recommended data set are: 550 K, -0.6%, 670 K, -0.7%.",
AgNO3-NaNO3,25-75,+E,550,670,,0.11369,15493.61,,,,,
AgNO3-NaNO3,50-50,+E,550,670,,0.12345,15296.96,,,,,
AgNO3-NaNO3,75-25,+E,550,670,,0.12903,14824.16,,,,,
AgNO3-NaNO3,100-0,+E,550,670,,0.14124,14301.15,,,,"For 100% AgNO3, the departures from the recommended data set are: 550 K, +1.3%, 670 K, +4.6%.",
AgNO3-RbNO3,0-100,+E,550,670,,0.14711,15865.99,,,,"For 100% RbNO3, the departures from the recommended data set are: 550 K, -4.1%, 670 K, -1.2%.",
AgNO3-RbNO3,25-75,+E,550,670,,0.14693,15008.26,,,,,
AgNO3-RbNO3,50-50,+E,550,670,,0.14094,14648.43,,,,,
AgNO3-RbNO3,75-25,+E,550,670,,0.14207,14271.86,,,,,
AgNO3-RbNO3,100-0,+E,550,670,,0.14124,14301.15,,,,"For 100% AgNO3, the departures from the recommended data set are: 550 K, +1.3%, 670 K, +4.6%.",
AgNO3-TlNO3,0-100,DP,,,,3.67,498.2K,,,,"For 100% TlNO3, at 498 K, the departure from the recommended value is +8.3%.",
AgNO3-TlNO3,14.6-85.4,+E,473,498,,1.467,3774.03,,,,,
AgNO3-TlNO3,33.8-66.2,+E,448,498,,1.704,3241.82,,,,,
AgNO3-TlNO3,45.2-54.8,+E,448,498,,1.592,3568.17,,,,,
AgNO3-TlNO3,51.1-48.9,+E,398,498,,0.307,10153.48,,,,,
AgNO3-TlNO3,56.2-43.8,+E,398,498,,0.302,10317.92,,,,,
AgNO3-TlNO3,59.1-40.9,+E,398,498,,0.319,10284.44,,,,,
AgNO3-TlNO3,61.1-38.9,+E,398,498,,0.266,11033.39,,,,,
AgNO3-TlNO3,62.9-37.1,+E,398,498,,0.31,10401.6,,,,,
AgNO3-TlNO3,65.8-34.2,+E,398,498,,0.334,10100.34,,,,,
AgNO3-TlNO3,70.2-29.8,+E,398,498,,0.357,9857.67,,,,,
